,Id,income,age,experience,married,house_ownership,car_ownership,profession,city,state,current_job_years,current_house_years,risk_flag
169987,169988,1514872,76,8,single,rented,yes,Engineer,Mango,Jharkhand,8,13,0
58667,58668,1655968,46,12,single,rented,no,Chartered_Accountant,Kanpur,Uttar_Pradesh,8,10,0
48988,48989,126261,69,6,single,rented,no,Politician,Berhampore,West_Bengal,4,11,0
244202,244203,7140906,64,10,single,rented,no,Flight_attendant,Agartala,Tripura,4,11,1
248608,248609,3283259,74,14,single,rented,no,Librarian,Haridwar,Uttarakhand,11,10,0
249802,249803,7836337,62,16,single,rented,no,Drafter,Bhind,Madhya_Pradesh,6,14,0
237918,237919,38783,55,8,married,rented,no,Surveyor,Hazaribagh,Jharkhand,8,14,0
17766,17767,4323553,54,13,single,rented,no,Computer_operator,Gorakhpur,Uttar_Pradesh,3,12,0
172411,172412,5597223,74,8,single,rented,yes,Computer_operator,Ajmer,Rajasthan,3,14,0
227152,227153,3583576,24,10,single,rented,no,Architect,Bulandshahr,Uttar_Pradesh,4,13,0
1262,1263,6481616,70,16,single,rented,yes,Surveyor,Pudukkottai,Tamil_Nadu,13,10,0
163387,163388,9804751,59,3,single,rented,no,Financial_Analyst,Ballia,Uttar_Pradesh,3,11,0
144648,144649,5524586,67,7,single,rented,no,Technical_writer,Karnal,Haryana,7,12,0
59949,59950,7511735,59,1,married,rented,no,Librarian,Ghaziabad,Uttar_Pradesh,1,10,0
73397,73398,2822929,29,5,single,rented,yes,Chemical_engineer,Tiruvottiyur,Tamil_Nadu,5,10,0
196978,196979,2153305,21,11,single,rented,yes,Computer_hardware_engineer,Shimla,Himachal_Pradesh,11,14,0
245001,245002,7134257,51,3,single,rented,no,Designer,Panipat,Haryana,3,12,0
151550,151551,2901323,56,2,married,rented,yes,Chartered_Accountant,Cuttack,Odisha,2,10,0
247181,247182,6867848,29,19,single,rented,no,Industrial_Engineer,Allahabad,Uttar_Pradesh[5],9,13,0
178239,178240,8005608,65,8,single,rented,no,Civil_servant,Sonipat,Haryana,8,12,1
241920,241921,3152882,56,2,single,rented,no,Economist,Madhyamgram,West_Bengal,2,14,0
166545,166546,1178145,67,0,single,rented,no,Designer,Bijapur,Karnataka,0,11,0
77942,77943,5421502,22,12,single,rented,no,Dentist,Kozhikode,Kerala,9,12,0
135508,135509,16045,56,5,single,norent_noown,no,Technician,Thane,Maharashtra,5,10,0
187450,187451,7810957,48,5,single,rented,yes,Design_Engineer,Kollam,Kerala,5,11,0
152852,152853,1969614,56,14,single,rented,yes,Drafter,Jalna,Maharashtra,12,14,0
143347,143348,4660756,78,0,single,rented,yes,Physician,Meerut,Uttar_Pradesh,0,12,0
225408,225409,9501065,30,8,single,norent_noown,yes,Official,Patna,Bihar,3,12,1
64530,64531,2889065,66,14,single,rented,no,Flight_attendant,Chapra,Bihar,7,14,0
124911,124912,7529689,76,9,single,rented,no,Army_officer,Rajahmundry[19][20],Andhra_Pradesh,4,10,0
21756,21757,8774556,63,2,single,rented,no,Flight_attendant,Howrah,West_Bengal,2,12,0
196362,196363,1061632,75,6,single,rented,yes,Police_officer,Gorakhpur,Uttar_Pradesh,6,10,0
18370,18371,8323780,62,8,single,rented,yes,Designer,Dhule,Maharashtra,5,14,0
179320,179321,5979967,54,4,single,rented,no,Surgeon,Bihar_Sharif,Bihar,4,10,0
118039,118040,365275,22,15,single,rented,no,Secretary,Panihati,West_Bengal,8,13,0
247766,247767,2888193,75,4,married,rented,no,Financial_Analyst,Jaipur,Rajasthan,4,14,0
238611,238612,6907758,59,14,single,rented,yes,Air_traffic_controller,Hazaribagh,Jharkhand,3,13,0
86897,86898,4493999,57,0,single,rented,no,Technician,Karawal_Nagar,Delhi,0,14,0
201262,201263,9409703,53,16,married,rented,no,Dentist,Chapra,Bihar,14,12,0
190854,190855,6593247,33,12,single,rented,yes,Artist,Vadodara,Gujarat,7,10,0
248944,248945,3753709,68,16,single,rented,yes,Army_officer,Tadepalligudem,Andhra_Pradesh,7,13,0
139778,139779,389819,29,3,married,rented,no,Drafter,Rampur,Uttar_Pradesh,3,14,1
244371,244372,4578349,37,4,single,rented,no,Mechanical_engineer,Indore,Madhya_Pradesh,4,11,1
83889,83890,7201729,22,19,single,rented,no,Technical_writer,Vijayawada,Andhra_Pradesh,4,12,0
39696,39697,4373442,46,1,single,rented,no,Police_officer,Alappuzha,Kerala,1,10,0
151783,151784,6019535,75,9,single,rented,yes,Surveyor,Nadiad,Gujarat,3,13,0
48446,48447,4264991,53,6,single,rented,no,Secretary,Meerut,Uttar_Pradesh,6,12,0
172957,172958,9305585,69,8,single,rented,no,Official,Raiganj,West_Bengal,8,10,1
156816,156817,7167873,61,0,single,rented,yes,Designer,Ambala,Haryana,0,11,1
196347,196348,5679259,78,17,single,rented,no,Official,Rohtak,Haryana,14,10,0
56561,56562,2725660,32,7,single,rented,no,Army_officer,Malegaon,Maharashtra,7,10,0
28952,28953,762473,50,0,single,rented,no,Psychologist,Burhanpur,Madhya_Pradesh,0,11,0
13286,13287,8697355,54,17,single,rented,no,Architect,Ongole,Andhra_Pradesh,13,12,0
218552,218553,7047160,69,20,single,rented,no,Flight_attendant,Lucknow,Uttar_Pradesh,9,14,0
11355,11356,3251968,76,17,single,rented,no,Geologist,Malda,West_Bengal,9,11,0
70038,70039,2699320,27,1,single,rented,no,Police_officer,Mangalore,Karnataka,1,10,0
206215,206216,6381958,63,0,single,rented,yes,Politician,Thane,Maharashtra,0,12,0
189331,189332,2791693,72,19,single,rented,no,Financial_Analyst,Muzaffarnagar,Uttar_Pradesh,6,10,0
163737,163738,8830162,77,18,single,rented,no,Surgeon,Jaunpur,Uttar_Pradesh,14,13,0
189980,189981,9328308,53,4,single,rented,no,Biomedical_Engineer,Alappuzha,Kerala,4,13,0
193974,193975,7334800,75,3,single,rented,no,Chartered_Accountant,Kota[6],Rajasthan,3,12,0
217439,217440,3096351,36,16,single,rented,no,Civil_engineer,Visakhapatnam[4],Andhra_Pradesh,6,10,0
151823,151824,2598882,23,0,single,rented,no,Scientist,Imphal,Manipur,0,14,0
147018,147019,8898785,67,10,single,rented,no,Drafter,Tinsukia,Assam,10,12,0
246606,246607,6761544,57,2,single,rented,no,Microbiologist,Udupi,Karnataka,2,11,1
44655,44656,6677142,26,12,single,rented,no,Flight_attendant,Vellore,Tamil_Nadu,10,11,0
159791,159792,9934332,76,7,single,rented,no,Engineer,North_Dumdum,West_Bengal,7,14,0
223479,223480,7376288,53,14,single,owned,no,Microbiologist,Sambalpur,Odisha,8,10,0
118427,118428,8082415,24,5,single,rented,no,Lawyer,Mira-Bhayandar,Maharashtra,4,13,0
82560,82561,660630,70,1,single,rented,yes,Chartered_Accountant,Pune,Maharashtra,1,10,1
140799,140800,4846957,75,2,single,rented,yes,Psychologist,Noida,Uttar_Pradesh,2,10,0
58355,58356,3660631,34,16,single,rented,yes,Surgeon,Udaipur,Rajasthan,9,14,0
34594,34595,4829059,59,17,married,rented,no,Geologist,Phagwara,Punjab,11,13,0
129204,129205,430586,59,7,single,rented,no,Magistrate,Arrah,Bihar,7,13,0
192519,192520,1864741,63,15,single,rented,yes,Police_officer,Muzaffarpur,Bihar,9,12,0
63524,63525,4786725,24,11,single,rented,no,Lawyer,Jaunpur,Uttar_Pradesh,7,11,0
248728,248729,979757,28,8,single,rented,no,Flight_attendant,New_Delhi,Delhi,5,12,1
235155,235156,5656889,29,16,single,rented,no,Secretary,Aurangabad[39],Bihar,14,11,0
105765,105766,5910401,68,14,single,rented,yes,Chef,Panihati,West_Bengal,14,10,0
155745,155746,8755375,55,8,single,rented,no,Microbiologist,Karawal_Nagar,Delhi,5,14,0
71231,71232,523445,44,1,single,rented,yes,Graphic_Designer,Korba,Chhattisgarh,1,12,0
42381,42382,245102,36,4,single,rented,no,Web_designer,Mango,Jharkhand,4,12,1
217950,217951,1800111,66,15,single,rented,no,Magistrate,Amravati,Maharashtra,3,12,0
116238,116239,7790773,40,10,married,rented,yes,Software_Developer,Bahraich,Uttar_Pradesh,9,12,0
166532,166533,9267569,48,11,single,rented,no,Dentist,Ghaziabad,Uttar_Pradesh,11,12,0
48620,48621,7430695,59,8,single,rented,no,Chef,Malda,West_Bengal,8,10,0
190490,190491,5840140,55,0,single,rented,no,Mechanical_engineer,Nangloi_Jat,Delhi,0,10,0
118221,118222,9013759,50,10,single,rented,yes,Architect,Hazaribagh,Jharkhand,6,13,0
28687,28688,8800657,52,11,single,rented,no,Analyst,Guntur[13],Andhra_Pradesh,4,14,0
28705,28706,5943449,49,3,single,rented,no,Biomedical_Engineer,Warangal[11][12],Telangana,3,11,0
15420,15421,5510998,64,1,single,rented,yes,Architect,Haldia,West_Bengal,1,13,0
82631,82632,6670038,37,13,single,rented,no,Artist,Amaravati,Andhra_Pradesh,5,14,0
189198,189199,8774556,63,2,single,rented,no,Flight_attendant,Howrah,West_Bengal,2,12,0
208108,208109,7168742,65,14,single,rented,no,Fashion_Designer,Junagadh,Gujarat,14,10,0
232793,232794,5699097,49,17,married,rented,no,Designer,Nanded,Maharashtra,3,11,0
104202,104203,1222892,74,7,single,rented,yes,Politician,Jalgaon,Maharashtra,5,12,0
206380,206381,5979967,54,4,single,rented,no,Surgeon,Bihar_Sharif,Bihar,4,10,0
208439,208440,6912450,23,17,single,rented,no,Technical_writer,Anantapuram[24],Andhra_Pradesh,10,14,0
217355,217356,596270,72,2,single,owned,no,Design_Engineer,Amroha,Uttar_Pradesh,2,14,0
78270,78271,6304775,21,13,single,rented,no,Official,Davanagere,Karnataka,7,11,0
45572,45573,1999326,50,8,single,rented,no,Secretary,Thiruvananthapuram,Kerala,4,12,0
64057,64058,5720531,43,12,single,rented,no,Financial_Analyst,Dehradun,Uttarakhand,7,11,0
100112,100113,7581400,28,9,single,rented,no,Official,Rajkot,Gujarat,9,12,0
240601,240602,9342449,27,13,single,rented,no,Computer_hardware_engineer,Haldia,West_Bengal,9,13,0
175941,175942,3720964,26,12,single,rented,no,Chartered_Accountant,Latur,Maharashtra,11,13,0
71244,71245,9018523,54,18,single,rented,yes,Lawyer,Nadiad,Gujarat,5,13,0
249166,249167,5862855,44,10,single,rented,no,Consultant,Meerut,Uttar_Pradesh,10,10,1
108619,108620,9559493,77,3,single,rented,no,Army_officer,Sirsa,Haryana,3,13,0
107604,107605,8374247,25,20,single,norent_noown,no,Fashion_Designer,Tumkur,Karnataka,4,11,0
234352,234353,5496827,32,16,single,rented,yes,Web_designer,Phusro,Jharkhand,6,14,0
64946,64947,5681211,79,18,single,rented,no,Web_designer,Ozhukarai,Puducherry,8,10,0
163674,163675,8800657,52,11,single,rented,no,Analyst,Guntur[13],Andhra_Pradesh,4,14,0
101194,101195,7710970,39,13,single,rented,no,Librarian,Bardhaman,West_Bengal,11,14,0
30231,30232,9312068,23,0,single,rented,no,Industrial_Engineer,Panipat,Haryana,0,11,0
118434,118435,2710720,53,13,single,rented,yes,Web_designer,Jammu[16],Jammu_and_Kashmir,7,10,0
170846,170847,4055817,39,14,single,rented,no,Drafter,Gurgaon,Haryana,4,14,0
190578,190579,672968,68,18,married,rented,no,Technology_specialist,Jehanabad[38],Bihar,5,12,0
126892,126893,7977107,59,15,single,rented,no,Comedian,Mirzapur,Uttar_Pradesh,8,12,0
74826,74827,4406338,78,17,single,rented,no,Fashion_Designer,Vadodara,Gujarat,10,10,0
4035,4036,651402,68,9,single,rented,yes,Artist,Gorakhpur,Uttar_Pradesh,9,13,0
204827,204828,7942966,51,6,single,rented,yes,Financial_Analyst,Ballia,Uttar_Pradesh,4,12,0
64747,64748,5566617,39,15,single,rented,no,Petroleum_Engineer,Nellore[14][15],Andhra_Pradesh,7,13,0
117078,117079,6319064,60,13,single,rented,yes,Civil_engineer,Ongole,Andhra_Pradesh,11,12,0
225123,225124,8632326,32,14,single,rented,yes,Microbiologist,Mirzapur,Uttar_Pradesh,13,12,0
145952,145953,4184636,55,2,single,rented,yes,Official,Amritsar,Punjab,2,10,0
203002,203003,3134138,22,14,single,rented,no,Aviator,Pallavaram,Tamil_Nadu,8,13,0
112035,112036,3831317,48,6,single,rented,no,Computer_hardware_engineer,Jaunpur,Uttar_Pradesh,6,13,0
168956,168957,278747,36,10,single,rented,no,Computer_hardware_engineer,Pondicherry,Puducherry,10,10,0
219834,219835,9655677,57,11,single,owned,no,Lawyer,Kolkata,West_Bengal,11,12,0
179905,179906,4399912,29,9,single,rented,no,Architect,North_Dumdum,West_Bengal,9,10,1
20787,20788,2292434,43,17,single,rented,no,Air_traffic_controller,Giridih,Jharkhand,11,11,0
97703,97704,16045,56,5,single,norent_noown,no,Technician,Thane,Maharashtra,5,10,0
96382,96383,9213176,50,13,single,rented,no,Army_officer,Ghaziabad,Uttar_Pradesh,3,14,0
178617,178618,133954,27,15,single,rented,no,Software_Developer,Sambhal,Uttar_Pradesh,11,13,0
75695,75696,245844,67,4,married,rented,no,Economist,Bhatpara,West_Bengal,3,11,0
27331,27332,7592145,68,20,single,rented,yes,Industrial_Engineer,Shivpuri,Madhya_Pradesh,4,10,0
76013,76014,3460548,36,13,single,rented,no,Web_designer,Kumbakonam,Tamil_Nadu,5,13,0
53891,53892,1963558,36,15,single,rented,yes,Microbiologist,Shimla,Himachal_Pradesh,7,13,1
179882,179883,8618183,74,6,single,rented,no,Comedian,Asansol,West_Bengal,3,11,0
116268,116269,519314,35,19,married,rented,no,Drafter,Haldia,West_Bengal,5,11,0
205213,205214,1797876,76,20,single,norent_noown,no,Mechanical_engineer,Erode[17],Tamil_Nadu,11,14,0
55064,55065,2151167,41,2,single,rented,yes,Statistician,Nagaon,Assam,2,13,0
245784,245785,3088828,30,3,single,rented,yes,Civil_servant,Kulti,West_Bengal,3,11,1
15933,15934,1697857,27,16,single,rented,no,Chemical_engineer,Moradabad,Uttar_Pradesh,14,10,0
29471,29472,128902,31,6,married,rented,yes,Artist,Phusro,Jharkhand,6,12,0
86160,86161,3992999,37,13,single,rented,no,Technology_specialist,Jamnagar,Gujarat,5,12,0
138036,138037,9819070,25,11,single,rented,no,Lawyer,Katihar,Bihar,6,10,1
102966,102967,3171323,21,17,single,rented,no,Industrial_Engineer,Shimla,Himachal_Pradesh,5,12,0
92789,92790,9205244,53,6,single,rented,no,Mechanical_engineer,Jorhat,Assam,6,14,0
29802,29803,7084312,72,19,single,rented,no,Biomedical_Engineer,Raebareli,Uttar_Pradesh,4,14,0
21422,21423,945123,44,0,single,rented,no,Chef,Tadipatri,Andhra_Pradesh,0,12,0
240666,240667,9782948,37,7,single,rented,no,Dentist,Visakhapatnam[4],Andhra_Pradesh,7,11,1
93277,93278,9578850,57,13,single,rented,no,Microbiologist,Amravati,Maharashtra,11,11,0
91774,91775,1065465,23,15,married,rented,no,Hotel_Manager,Miryalaguda,Telangana,4,12,0
128987,128988,5515243,64,12,single,rented,no,Firefighter,Baranagar,West_Bengal,11,12,0
99393,99394,2386002,24,10,married,rented,yes,Petroleum_Engineer,Tiruchirappalli[10],Tamil_Nadu,6,12,0
182146,182147,1265890,57,0,single,rented,no,Technician,Uluberia,West_Bengal,0,14,0
43110,43111,1010539,39,9,single,rented,no,Secretary,Hyderabad,Telangana,4,13,0
68372,68373,5158722,69,3,single,rented,no,Drafter,Madanapalle,Andhra_Pradesh,3,14,0
118787,118788,8043880,57,12,single,rented,no,Financial_Analyst,Kollam,Kerala,8,10,0
112645,112646,5738912,76,9,married,rented,no,Hotel_Manager,Nellore[14][15],Andhra_Pradesh,9,14,0
80851,80852,1051358,43,14,single,rented,no,Computer_hardware_engineer,Indore,Madhya_Pradesh,7,10,0
245864,245865,2992247,34,11,single,rented,no,Flight_attendant,Patiala,Punjab,8,12,0
585,586,9222108,78,9,single,rented,no,Biomedical_Engineer,Singrauli,Madhya_Pradesh,9,12,0
7242,7243,5375354,38,4,single,rented,no,Petroleum_Engineer,Etawah,Uttar_Pradesh,4,14,0
220946,220947,5572884,45,4,single,rented,no,Dentist,Deoghar,Jharkhand,4,11,0
156821,156822,5922261,43,6,single,rented,no,Microbiologist,Kota[6],Rajasthan,6,14,0
114581,114582,1161306,32,5,single,rented,no,Psychologist,Chittoor[28],Andhra_Pradesh,5,10,0
24005,24006,3139818,57,20,married,rented,no,Air_traffic_controller,Nanded,Maharashtra,3,10,0
115200,115201,9218490,63,12,single,rented,yes,Designer,Udupi,Karnataka,10,13,0
120313,120314,9578850,57,13,single,rented,no,Microbiologist,Amravati,Maharashtra,11,11,0
25324,25325,4375780,66,3,single,owned,no,Secretary,Bidar,Karnataka,3,10,0
140631,140632,7362151,65,4,single,rented,no,Magistrate,Gurgaon,Haryana,3,11,0
64240,64241,7071461,48,10,single,owned,no,Geologist,Miryalaguda,Telangana,4,12,0
140300,140301,6152639,27,12,single,rented,no,Scientist,Chennai,Tamil_Nadu,7,11,0
199763,199764,7574516,40,10,single,rented,no,Software_Developer,Parbhani,Maharashtra,9,13,0
2662,2663,3840944,68,14,single,rented,no,Dentist,Aligarh,Uttar_Pradesh,9,12,0
163147,163148,2040616,65,7,single,norent_noown,no,Scientist,Baranagar,West_Bengal,4,10,0
174823,174824,9962662,79,19,single,rented,no,Microbiologist,Amritsar,Punjab,7,11,0
34758,34759,160166,53,16,single,rented,no,Magistrate,Vadodara,Gujarat,9,11,0
91316,91317,9627539,56,2,single,rented,yes,Designer,Varanasi,Uttar_Pradesh,2,13,0
190575,190576,7902199,45,1,single,rented,yes,Police_officer,Bokaro,Jharkhand,1,10,0
49869,49870,8615779,51,20,married,rented,yes,Biomedical_Engineer,Aligarh,Uttar_Pradesh,6,14,0
248831,248832,9740492,52,0,single,rented,no,Graphic_Designer,Kottayam,Kerala,0,11,0
221126,221127,6923352,26,16,single,rented,no,Politician,Nagercoil,Tamil_Nadu,7,14,1
219090,219091,9631183,66,14,single,rented,no,Economist,Patna,Bihar,5,11,0
51778,51779,4006235,74,11,single,rented,no,Technology_specialist,Bhagalpur,Bihar,3,13,0
176848,176849,3023675,75,20,single,rented,no,Air_traffic_controller,Tumkur,Karnataka,3,13,0
151859,151860,960205,66,16,single,rented,no,Comedian,Vijayawada,Andhra_Pradesh,7,11,0
24733,24734,8683216,21,0,married,rented,no,Chartered_Accountant,Moradabad,Uttar_Pradesh,0,12,1
213663,213664,9975789,25,17,single,rented,yes,Air_traffic_controller,Guna,Madhya_Pradesh,10,12,0
147625,147626,7720372,72,6,single,rented,yes,Physician,Mira-Bhayandar,Maharashtra,6,11,0
130438,130439,8025541,53,9,married,rented,no,Chemical_engineer,Ghaziabad,Uttar_Pradesh,7,14,0
157800,157801,4417332,24,20,single,rented,yes,Secretary,Erode[17],Tamil_Nadu,11,14,0
170832,170833,265958,21,2,married,rented,no,Architect,Dibrugarh,Assam,2,13,0
202336,202337,6108808,76,16,married,rented,no,Computer_hardware_engineer,Panipat,Haryana,3,12,0
146776,146777,2522353,71,17,married,rented,no,Hotel_Manager,Bidhannagar,West_Bengal,13,11,0
238528,238529,1521598,49,7,single,rented,yes,Petroleum_Engineer,Cuttack,Odisha,7,12,0
183813,183814,6360265,31,18,single,rented,no,Scientist,Mumbai,Maharashtra,3,11,0
142381,142382,6088232,58,18,single,rented,no,Computer_operator,Saharsa[29],Bihar,4,10,0
83839,83840,2647648,33,7,single,rented,no,Physician,Salem,Tamil_Nadu,7,11,0
96627,96628,7736608,47,18,single,rented,yes,Civil_engineer,Kota[6],Rajasthan,3,13,0
99186,99187,7733758,27,20,single,rented,no,Official,Baranagar,West_Bengal,4,11,0
69907,69908,3083768,34,12,single,rented,no,Magistrate,Begusarai,Bihar,5,11,1
238328,238329,2565389,68,2,single,rented,no,Physician,Sagar,Madhya_Pradesh,2,12,0
177669,177670,5381739,76,15,single,rented,no,Graphic_Designer,Cuttack,Odisha,9,13,1
173507,173508,8419826,31,0,single,rented,no,Geologist,Raiganj,West_Bengal,0,14,1
225987,225988,7858872,61,17,single,rented,yes,Statistician,Durg,Chhattisgarh,11,14,0
131977,131978,7730239,55,16,single,rented,yes,Technical_writer,Thane,Maharashtra,3,12,0
101822,101823,4406338,78,17,single,rented,no,Fashion_Designer,Vadodara,Gujarat,10,10,0
66295,66296,6580482,48,11,single,rented,no,Chartered_Accountant,Anand,Gujarat,7,10,0
250462,250463,1847881,42,11,single,rented,no,Librarian,Barasat,West_Bengal,11,12,0
9603,9604,6565653,53,12,single,owned,no,Army_officer,Aligarh,Uttar_Pradesh,11,12,1
80233,80234,1343772,76,20,single,rented,no,Analyst,Bhimavaram,Andhra_Pradesh,10,12,0
240638,240639,5251177,64,9,married,rented,no,Aviator,Dewas,Madhya_Pradesh,9,12,0
247029,247030,2842604,62,5,single,rented,yes,Economist,Ahmedabad,Gujarat,5,14,0
154638,154639,3781553,56,16,single,rented,no,Firefighter,Ahmedabad,Gujarat,11,14,0
68985,68986,4043789,55,17,single,rented,no,Chef,Hospet,Karnataka,10,11,0
228288,228289,5267496,26,6,single,rented,yes,Army_officer,Nangloi_Jat,Delhi,6,13,1
221459,221460,8740938,33,17,single,norent_noown,yes,Statistician,Nagercoil,Tamil_Nadu,3,14,0
99754,99755,6809745,74,0,single,rented,yes,Technical_writer,Lucknow,Uttar_Pradesh,0,13,0
10748,10749,6915937,64,0,single,rented,no,Civil_servant,Jalgaon,Maharashtra,0,12,0
34167,34168,3492662,66,7,single,rented,yes,Fashion_Designer,Coimbatore,Tamil_Nadu,7,13,0
239517,239518,2713426,58,0,single,rented,yes,Economist,Bhopal,Madhya_Pradesh,0,14,0
169411,169412,973794,69,16,single,rented,yes,Geologist,Raipur,Chhattisgarh,8,14,0
81958,81959,8049089,60,18,single,rented,no,Aviator,Noida,Uttar_Pradesh,5,12,0
75790,75791,7552268,38,6,single,rented,no,Civil_engineer,Berhampore,West_Bengal,5,10,1
249706,249707,3257953,39,9,single,rented,no,Comedian,Kumbakonam,Tamil_Nadu,9,14,0
217207,217208,2369991,38,5,single,rented,yes,Graphic_Designer,Varanasi,Uttar_Pradesh,5,11,0
71176,71177,1538951,73,9,single,rented,yes,Geologist,Panchkula,Haryana,9,10,1
229483,229484,6310460,37,12,single,rented,yes,Chef,Amroha,Uttar_Pradesh,7,11,1
100800,100801,974413,35,1,single,rented,no,Librarian,Burhanpur,Madhya_Pradesh,1,14,0
77663,77664,4281870,53,1,married,rented,no,Aviator,Bhiwani,Haryana,1,12,0
4832,4833,3391399,72,0,single,rented,no,Flight_attendant,Guntakal,Andhra_Pradesh,0,11,0
208443,208444,2175504,72,14,single,rented,no,Geologist,Mathura,Uttar_Pradesh,11,11,0
49706,49707,4533369,56,16,single,rented,yes,Police_officer,Alwar,Rajasthan,8,13,0
214458,214459,1441243,55,6,single,rented,yes,Librarian,Nagaon,Assam,6,10,0
189253,189254,4531094,41,6,single,rented,no,Magistrate,Unnao,Uttar_Pradesh,6,13,0
124286,124287,9334042,52,10,single,rented,yes,Economist,Malegaon,Maharashtra,5,11,0
94709,94710,7581400,28,9,single,rented,no,Official,Rajkot,Gujarat,9,12,0
47703,47704,6461329,41,18,single,rented,yes,Consultant,Jorhat,Assam,8,12,0
126447,126448,2619515,49,8,single,rented,yes,Surgeon,Bhimavaram,Andhra_Pradesh,8,13,0
18069,18070,9775346,48,6,single,rented,no,Official,Ghaziabad,Uttar_Pradesh,6,10,1
184601,184602,4839082,74,17,single,rented,yes,Engineer,Tiruchirappalli[10],Tamil_Nadu,9,14,0
178453,178454,6668606,45,2,single,rented,no,Designer,Giridih,Jharkhand,2,10,0
200692,200693,2157311,78,14,single,rented,no,Chef,Sonipat,Haryana,6,12,0
54354,54355,6619884,31,17,single,rented,no,Software_Developer,Amaravati,Andhra_Pradesh,12,10,0
208173,208174,6510098,42,11,single,rented,no,Technician,Vadodara,Gujarat,11,11,0
210102,210103,7400525,71,0,single,rented,yes,Hotel_Manager,Jalna,Maharashtra,0,11,0
245019,245020,3412875,41,11,single,rented,no,Drafter,Bahraich,Uttar_Pradesh,9,14,1
177140,177141,871838,25,4,single,rented,yes,Fashion_Designer,Tiruvottiyur,Tamil_Nadu,4,14,0
36749,36750,8737301,70,14,single,rented,no,Technology_specialist,Gulbarga,Karnataka,13,10,0
206030,206031,2329433,42,1,single,rented,no,Surveyor,Bhilwara,Rajasthan,1,11,0
216998,216999,1229258,29,3,single,rented,no,Architect,Bareilly,Uttar_Pradesh,3,14,0
